lag,rho
1,-0.3571089414519932
2,-0.07845237407119772
3,-0.04097083952272298
4,-0.028131463885376545
5,-0.019607278988733882
6,-0.00707884963517203
7,-0.0043967268037213994
8,-0.008656594393666135
9,0.008425335828066928
10,0.021452067178893967
11,0.011530650910695028
12,-0.0015115917411377125
13,-0.0033592381595963605
14,0.015723914134131888
15,0.028831729340490816
16,0.015839764854877005
17,0.006718441978137701
18,-0.0007134584881648619
19,-0.03548493483826758
20,-0.0831634730372207
